"sample","bottom","mid","top","total"
"9026.d.24","20","9","25","54"
"9026.d.25","16","8","23","47"
"9026.d.26","9","10","18","37"
"9026.d.27","4","14","16","34"
"9026.d.28","9","8","15","32"
"9026.d.29","12","3","16","31"
"9026.d.30","18","7","24","49"
"9026.d.31","27","8","33","68"
"9026.d.32","28","7","35","70"
"9026.d.33","23","8","26","57"
"9026.d.34","15","6","15","36"
"9026.d.35","9","5","9","23"
"9026.d.36","12","15","7","34"
"9026.d.37","18","23","6","47"
"9026.d.38","18","20","6","44"
"9026.d.39","13","15","5","33"
"9026.d.40","7","8","3","18"
"9026.d.41","7","8","3","18"
"9026.d.42","8","6","4","18"
"9026.d.43","5","3","3","11"
"9026.d.44","5","8","4","17"
"9026.d.45","5","8","6","19"
"9026.d.46","3","5","4","12"
"9026.d.47","3","4","2","9"
"9026.d.48","5","6","3","14"
"9026.d.49","7","7","5","19"
"9026.d.50","8","8","4","20"
"9026.d.51","7","9","5","21"
"9026.d.52","10","12","7","29"
"9026.d.53","12","17","7","36"
"9026.d.54","7","9","4","20"
"9026.d.55","5","5","3","13"
"9026.d.56","7","7","4","18"
"9026.d.57","5","7","5","17"
"9026.d.58","5","7","5","17"
"9026.d.59","6","5","4","15"
"9026.d.60","5","3","4","12"
"9026.d.61","6","5","3","14"
"9026.d.62","6","7","5","18"
"9026.d.63","3","3","4","10"
"9026.d.64","5","4","5","14"
"9026.d.65","5","5","5","15"
"9026.d.66","4","3","3","10"
"9026.d.67","5","5","4","14"
"9026.d.68","3","3","4","10"
"9026.d.69","3","5","3","11"
"9026.d.70","5","6","5","16"
"9026.d.71","6","6","5","17"
"9026.d.72","7","7","5","19"
"9026.d.73","6","8","6","20"
"9026.d.74","4","5","4","13"
"9026.d.75","5","7","4","16"
"9026.d.76","6","8","5","19"
"9026.d.77","5","7","5","17"
