"tagname","week","bottom_mean","middle_mean","top_mean","activity","weekFac"
6973,12,0.512378600641584,0.147315158797526,0.34030624056089,"high","12"
6973,13,0.6079966487714,0.106518360102742,0.285484991125858,"high","13"
6973,14,0.506776316514722,0.173373165918887,0.319850517566391,"high","14"
6973,15,0.479225689812926,0.311613550428274,0.2091607597588,"high","15"
6973,16,0.599872124171838,0.215283366220939,0.184844509607223,"high","16"
6973,17,0.717096777749606,0.141058062240252,0.141845160010142,"high","17"
6973,18,0.441431768324276,0.391339719775556,0.167228511900169,"high","18"
6976,10,0.39432054942511,0.555297476657149,0.0503819739177406,"high","10"
6976,11,0.462559941794451,0.367440168443332,0.169999889762217,"high","11"
6976,12,0.503945410249909,0.269429960424636,0.226624629325455,"high","12"
6976,13,0.512682856922382,0.258437048714076,0.228880094363542,"high","13"
6976,14,0.404391873270645,0.451355373540727,0.144252753188628,"high","14"
6976,15,0.437915183049839,0.500177482830465,0.0619073341196962,"high","15"
6976,16,0.472272272609054,0.385349530706179,0.142378196684767,"high","16"
6976,17,0.485467353080595,0.421136992492807,0.0933956544265981,"high","17"
6976,18,0.461316459603364,0.442897930836815,0.0957856095598205,"high","18"
6979,10,0,0.657982869048538,0.342017130951462,"medium","10"
6979,11,0.0502970908249094,0.721175575716821,0.228527333458269,"medium","11"
6979,12,0.127095344658428,0.782847000981116,0.0900576543604555,"medium","12"
6979,13,0.0431602967601116,0.80049607002304,0.156343633216849,"medium","13"
6979,14,0,0.917348119894613,0.0826518801053873,"medium","14"
6979,15,0.0335100812452461,0.923446474044514,0.04304344471024,"medium","15"
6979,16,0.0772127478972143,0.833745990100647,0.0890412620021385,"medium","16"
6979,17,0.0131778245675923,0.909721870073749,0.0771003053586587,"medium","17"
6979,18,0.027976144543781,0.911463627043533,0.0605602284126861,"medium","18"
6980,10,0.111070541120529,0.416349161431216,0.472580297448255,"high","10"
6980,11,0.228780880358934,0.347712014815958,0.423507104825108,"high","11"
6980,12,0.29890092930451,0.328667335442549,0.372431735252941,"high","12"
6980,13,0.334659861320869,0.333118737115959,0.332221401563172,"high","13"
6980,14,0.292954136199379,0.331351172616622,0.375694691183999,"high","14"
6980,15,0.215648125741371,0.363198637535517,0.421153236723112,"high","15"
6980,16,0.321678260006835,0.286018541995084,0.392303197998082,"high","16"
6980,17,0.197967215283366,0.353797140431911,0.448235644284722,"high","17"
6980,18,0.168769098730764,0.402204020149616,0.429026881119621,"high","18"
6981,10,0.256725055945675,0.103310440620418,0.639964503433907,"medium","10"
6981,11,0.417710802200346,0.031823443166911,0.550465754632743,"medium","11"
6981,12,0.45191317672219,0.148633602680983,0.399453220596827,"medium","12"
6981,13,0.291517202606021,0.572178188352276,0.136304609041703,"medium","13"
6981,14,0.577992129022301,0.405236294687641,0.0167715762900577,"medium","14"
6981,15,0.713909064262875,0.245488307977202,0.0406026277599233,"medium","15"
6981,16,0.412787582816134,0.539728594578506,0.0474838226053597,"medium","16"
6981,17,0.501469469646026,0.416606219615711,0.0819243107382625,"medium","17"
6981,18,0.45814161145591,0.440056000793712,0.101802387750378,"medium","18"
6982,10,0.171757080021607,0.30364225634694,0.524600663631453,"medium","10"
6982,11,0.0173889078742849,0.38410371170615,0.598507380419565,"medium","11"
6982,12,0.00834059065404077,0.369534686318389,0.622124723027571,"medium","12"
6982,13,0,0.51220001543329,0.48779998456671,"medium","13"
6982,14,0.086567526153914,0.431790371832042,0.481642102014044,"medium","14"
6982,15,0.0353444379526639,0.400601898294621,0.564053663752715,"medium","15"
6982,16,0.057870426509982,0.398445647261142,0.543683926228876,"medium","16"
6982,17,0.0184075049882597,0.371437390451203,0.610155104560537,"medium","17"
6982,18,0.0337261472997256,0.385589717019611,0.580684135680663,"medium","18"
6984,10,0,0.376309900455282,0.623690099544718,"high","10"
6984,11,0,0.431512572619139,0.56848742738086,"high","11"
6984,12,0.0644868982395026,0.338251408287677,0.597261693472821,"high","12"
